"locus_tag","confidence","p-value","PDB_ID","SCOP_ID"
"Rv1747","CERT",8E-08,"1gajA0","c.37.1.12"
"Rv1748","MEDIUM",0.004,"2tct00","a.4.1.9"
"Rv1749c","MEDIUM",0.005,"1bo4A0","d.108.1.1"
"Rv1750c","CERT",7E-10,"1amuA0","e.23.1.1"
"Rv1751","CERT",4E-07,"1fohA5","NULL"
"Rv1752","GUESS",0.414,"1ajsA0","c.67.1.1"
"Rv1753c","HIGH",0.0003,"1ihmA0","b.121.4.3"
"Rv1754c","HIGH",0.0003,"1ivhA2","NULL"
"Rv1755c","GUESS",0.107,"1bnkA0","b.46.1.2"
"Rv1756c","CERT",7E-05,"1cxqA0","NULL"
"Rv1757c","MEDIUM",0.007,"1aihA0","d.163.1.1"
"Rv1758","LOW",0.041,"1preA1","NULL"
"Rv1759c","HIGH",0.0004,"1bmv20","b.121.4.2"
"Rv1760","LOW",0.05,"1ebuA0","c.2.1.3"
"Rv1761c","HIGH",0.001,"1ebdA2","NULL"
"Rv1762c","HIGH",0.001,"1gca00","c.93.1.1"
"Rv1763","MEDIUM",0.007,"1aihA0","d.163.1.1"
"Rv1764","CERT",7E-05,"1cxqA0","NULL"
"Rv1765c","HIGH",0.0004,"1d3gA0","c.1.4.1"
"Rv1766","LOW",0.05,"1iow01","NULL"
"Rv1767","MEDIUM",0.007,"1fo4A4","NULL"
"Rv1788","MEDIUM",0.002,"1f0kA0","c.87.1.2"
"Rv1769","MEDIUM",0.009,"1c0pA1","NULL"
"Rv1770","CERT",5E-08,"1cx8B0","a.48.2.1"
"Rv1771","CERT",7E-08,"1f0xA0","d.58.32.2"
"Rv1772","LOW",0.02,"1d4oA0","c.31.1.4"
"Rv1773c","HIGH",0.0003,"1e2xA0","a.4.5.6"
"Rv1774","CERT",1E-07,"2mbr00","d.145.1.2"
"Rv1775","MEDIUM",0.01,"1ezwA0","c.1.16.3"
"Rv1776c","CERT",5E-06,"2tct00","a.4.1.9"
"Rv1777","CERT",2E-09,"1f4tA0","a.104.1.1"
"Rv1778c","GUESS",0.391,"1gpjA0","a.151.1.1"
"Rv1779c","HIGH",0.0004,"2tct00","a.4.1.9"
"Rv1780","MEDIUM",0.005,"1jusE0","a.4.1.9"
"Rv1781c","HIGH",0.0001,"1ubpC0","b.92.1.1"
"Rv1782","LOW",0.077,"1al300","c.94.1.1"
"Rv1783","LOW",0.054,"1j4fA0","None"
"Rv1784","CERT",3E-05,"1g8pA0","c.37.1.20"
"Rv1785c","CERT",3E-09,"1dt6A0","a.104.1.1"
"Rv1786","MEDIUM",0.01,"1fxd00","d.58.1.4"
"Rv1787","GUESS",0.195,"1fx7A1","NULL"
"Rv1788","LOW",0.05,"1qcsA2","NULL"
"Rv1789","MEDIUM",0.004,"1mrp00","c.94.1.1"
"Rv1800","HIGH",0.0009,"1gcoA0","c.2.1.2"
"Rv1801","GUESS",0.127,"1qu6A1","NULL"
"Rv1802","LOW",0.062,"1eerA0","a.26.1.2"
"Rv1803c","GUESS",0.15,"1pse00","b.34.4.2"
"Rv1794","MEDIUM",0.005,"1psdA0","c.2.1.4"
"Rv1795","HIGH",0.0001,"1bn6A0","c.69.1.8"
"Rv1796","CERT",2E-08,"1gci00","c.41.1.1"
"Rv1797","MEDIUM",0.002,"1al300","c.94.1.1"
"Rv1798","CERT",2E-07,"1e32A2","NULL"
"Rv1799","GUESS",0.394,"1dpe00","c.94.1.1"
"Rv1800","LOW",0.063,"1lut00","None"
"Rv1801","GUESS",0.181,"1bku00","j.6.1.1"
"Rv1802","HIGH",0.0002,"1gox00","c.1.4.1"
"Rv1803c","HIGH",0.0003,"1io1A0","e.32.1.1"
"Rv1804c","GUESS",0.112,"2reb02","NULL"
"Rv1805c","GUESS",0.148,"1pud00","c.1.20.1"
"Rv1806","GUESS",0.126,"1molA0","d.17.1.1"
"Rv1807","MEDIUM",0.002,"1j7vR0","b.1.2.1"
"Rv1808","LOW",0.01,"1allA0","a.1.1.3"
"Rv1809","MEDIUM",0.002,"1lucA0","c.1.16.1"
"Rv1810","LOW",0.026,"1a04A0","a.4.6.2"
"Rv1811","HIGH",0.0001,"1gox00","c.1.4.1"
"Rv1812c","CERT",6E-07,"1gnd00","c.3.1.3"
"Rv1813c","GUESS",0.1,"1a3wA3","NULL"
"Rv1814","HIGH",0.0006,"1f0iA1","NULL"
"Rv1815","HIGH",0.0009,"1qq4A0","b.47.1.1"
"Rv1816","CERT",4E-06,"2tct00","a.4.1.9"
"Rv1817","CERT",2E-07,"1e39A2","NULL"
"Rv1816","HIGH",0.0003,"1ee4A0","NULL"
"Rv1819c","CERT",6E-07,"1gajA0","c.37.1.12"
"Rv1820","CERT",7E-10,"1bfd00","c.31.1.3"
"Rv1821","CERT",1E-08,"1d2mA0","c.37.1.19"
"Rv1822","LOW",0.011,"1j9jA0","c.106.1.1"
"Rv1823","MEDIUM",0.008,"1f0iA1","NULL"
"Rv1824","LOW",0.02,"1e25A0","e.3.1.1"
"Rv1825","MEDIUM",0.004,"1pymA0","c.1.12.7"
"Rv1826","MEDIUM",0.006,"1cx4A2","NULL"
"Rv1827","HIGH",0.0005,"1qu5A0","b.26.1.2"
"Rv1828","MEDIUM",0.004,"1jbgA0","a.6.1.3"
"Rv1829","MEDIUM",0.001,"1fts02","NULL"
"Rv1830","MEDIUM",0.001,"1jbgA0","a.6.1.3"
"Rv1831","LOW",0.096,"1bozA0","c.71.1.1"
"Rv1832","CERT",5E-09,"1c0nA0","c.67.1.3"
"Rv1833c","CERT",1E-09,"1bn6A0","c.69.1.8"
"Rv1834","CERT",6E-09,"1c4xA0","c.69.1.10"
"Rv1835c","CERT",1E-08,"1ju3A0","b.18.1.13"
"Rv1836c","CERT",5E-05,"2thiA0","c.94.1.1"
"Rv1837c","LOW",0.012,"1qsaA0","a.118.5.1"
"Rv1838c","MEDIUM",0.005,"1frb00","NULL"
"Rv1839c","LOW",0.012,"2tct02","NULL"
"Rv1840c","MEDIUM",0.003,"2thiA0","c.94.1.1"
"Rv1841c","MEDIUM",0.007,"1jykA0","c.68.1.13"
"Rv1842c","MEDIUM",0.004,"1qflA1","NULL"
"Rv1843c","CERT",5E-08,"1ak500","c.1.5.1"
"Rv1844c","CERT",5E-10,"2pgd00","a.100.1.1"
"Rv1845c","MEDIUM",0.001,"1a5300","c.1.2.4"
"Rv1846c","HIGH",0.0001,"1bi000","a.4.5.24"
"Rv1847","LOW",0.052,"1f0xA0","d.58.32.2"
"Rv1848","CERT",2E-06,"1ubpA0","d.8.1.1"
"Rv1849","CERT",6E-05,"1ubpB0","b.85.3.1"
"Rv1850","CERT",5E-10,"1ubpC0","b.92.1.1"
"Rv1851","HIGH",0.0004,"1al300","c.94.1.1"
"Rv1852","CERT",9E-05,"1f60A3","NULL"
"Rv1853","MEDIUM",0.002,"2tct00","a.4.1.9"
"Rv1854c","CERT",2E-07,"1vdc00","c.3.1.5"
"Rv1855c","CERT",8E-10,"1lucA0","c.1.16.1"
"Rv1856c","CERT",2E-08,"1cydA0","c.2.1.2"
"Rv1857","CERT",7E-09,"1wod00","c.94.1.1"
"Rv1858","LOW",0.019,"2hlpA2","NULL"
"Rv1859","CERT",2E-08,"1gajA0","c.37.1.12"
"Rv1860","MEDIUM",0.002,"1ga1A0","c.41.1.2"
"Rv1861","GUESS",0.146,"1cydA0","c.2.1.2"
"Rv1862","CERT",2E-09,"2ohxA0","b.35.1.2"
"Rv1863c","MEDIUM",0.007,"1mkaA0","d.38.1.2"
"Rv1864c","LOW",0.012,"2mbr00","d.145.1.2"
"Rv1865c","CERT",4E-08,"1cydA0","c.2.1.2"
"Rv1866","MEDIUM",0.004,"1gbnA0","c.67.1.4"
"Rv1867","CERT",4E-05,"1qflA1","NULL"
"Rv1868","HIGH",0.0004,"1jayB0","c.2.1.6"
"Rv1869c","CERT",6E-09,"1lvl00","c.3.1.5"
"Rv1870c","CERT",6E-07,"1mun00","a.96.1.2"
"Rv1871c","GUESS",0.366,"1bi5A0","c.95.1.2"
"Rv1872c","CERT",6E-10,"1gox00","c.1.4.1"
"Rv1873","LOW",0.017,"1lrv00","a.118.1.5"
"Rv1874","LOW",0.1,"1dnyA0","a.28.1.2"
"Rv1875","LOW",0.013,"1j4fA0","None"
"Rv1876","CERT",3E-05,"1qghA0","a.25.1.1"
"Rv1877","CERT",1E-07,"1ja5A0","None"
"Rv1878","MEDIUM",0.008,"2mbr00","d.145.1.2"
"Rv1879","HIGH",0.0005,"1a4mA0","c.1.9.1"
"Rv1880c","CERT",4E-09,"1dt6A0","a.104.1.1"
"Rv1881c","LOW",0.085,"1qbeA0","d.85.1.1"
"Rv1882c","CERT",4E-08,"1cydA0","c.2.1.2"
"Rv1883c","LOW",0.01,"1qfhA1","NULL"
"Rv1884c","LOW",0.031,"1bfd00","c.31.1.3"
"Rv1885c","HIGH",0.0002,"1ecmA0","a.130.1.1"
"Rv1886c","CERT",2E-09,"1dqyA0","c.69.1.3"
"Rv1887","MEDIUM",0.004,"1g8pA0","c.37.1.20"
"Rv1888c","LOW",0.015,"1f3uA0","b.65.1.1"
"Rv1889c","MEDIUM",0.005,"1a8h01","NULL"
"Rv1890c","GUESS",0.149,"2pia01","NULL"
"Rv1891","NULL","NULL","NULL","NULL"
"Rv1892","LOW",0.083,"1vrtA2","NULL"
"Rv1893","LOW",0.023,"1c0aA2","NULL"
"Rv1894c","CERT",2E-07,"1gox00","c.1.4.1"
"Rv1895","CERT",1E-09,"2ohxA0","b.35.1.2"
"Rv1896c","HIGH",0.0004,"1fohA5","NULL"
"Rv1897c","MEDIUM",0.005,"1qe0A1","NULL"
"Rv1898","LOW",0.023,"1mgtA0","a.4.2.1"
"Rv1899c","MEDIUM",0.003,"1e39A2","NULL"
"Rv1900c","CERT",2E-08,"1c4xA0","c.69.1.10"
"Rv1901","MEDIUM",0.001,"1qf6A1","NULL"
"Rv1902c","CERT",7E-07,"1ja5A0","None"
"Rv1903","LOW",0.012,"1cxlA0","NULL"
"Rv1904","GUESS",0.111,"1drtA0","b.82.2.2"
"Rv1905c","CERT",2E-08,"1c0pA1","NULL"
"Rv1906c","GUESS",0.125,"1eejA2","NULL"
"Rv1907c","LOW",0.097,"2tct01","NULL"
"Rv1908c","CERT",1E-07,"1bgp00","a.93.1.1"
"Rv1909c","LOW",0.017,"1qbjA0","a.4.5.19"
"Rv1910c","CERT",4E-05,"1a4400","b.17.1.1"
"Rv1911c","CERT",2E-05,"1a4400","b.17.1.1"
"Rv1912c","CERT",4E-09,"2ohxA0","b.35.1.2"
"Rv1913","CERT",7E-09,"1a7tA0","d.157.1.1"
"Rv1914c","LOW",0.089,"1mpgA2","NULL"
"Rv1915","CERT",1E-08,"1dquA0","c.1.12.7"
"Rv1916","CERT",2E-06,"1dquA0","c.1.12.7"
"Rv1917c","CERT",2E-05,"1bmv20","b.121.4.2"
"Rv1918","HIGH",0.0003,"1bmv20","b.121.4.2"
"Rv1919c","LOW",0.016,"1fvzA0","None"
"Rv1920","MEDIUM",0.007,"1ak100","c.92.1.1"
"Rv1921c","MEDIUM",0.004,"1ako00","d.151.1.1"
"Rv1922","CERT",1E-08,"1gceA0","e.3.1.1"
"Rv1923","CERT",2E-08,"1gceA0","e.3.1.1"
"Rv1924c","LOW",0.01,"1psdA1","NULL"
"Rv1925","CERT",4E-10,"1amuA0","e.23.1.1"
"Rv1926c","LOW",0.01,"1a65A1","NULL"
"Rv1927","HIGH",0.0005,"1fnf00","b.1.2.1"
"Rv1928c","CERT",5E-09,"1cydA0","c.2.1.2"
"Rv1929c","MEDIUM",0.008,"1fnoA0","c.56.5.4"
"Rv1930c","MEDIUM",0.002,"1mla00","c.19.1.1"
"Rv1931c","HIGH",0.0002,"1d5yA0","a.4.1.8"
"Rv1932","CERT",1E-06,"1qq2A0","c.47.1.10"
"Rv1933c","CERT",1E-08,"1ivhA2","NULL"
"Rv1934c","CERT",1E-08,"1ivhA2","NULL"
"Rv1935c","CERT",1E-07,"1ef8A0","c.14.1.3"
"Rv1936","CERT",1E-09,"1lucA0","c.1.16.1"
"Rv1937","CERT",1E-07,"1amoA0","b.43.4.1"
"Rv1938","CERT",5E-09,"1qtrA0","c.69.1.7"
"Rv1939","LOW",0.027,"3chbD0","b.40.2.1"
"Rv1940","HIGH",0.0002,"1ak500","c.1.5.1"
"Rv1941","CERT",6E-09,"1cydA0","c.2.1.2"
"Rv1942c","LOW",0.03,"1dnyA0","a.28.1.2"
"Rv1943c","LOW",0.018,"1dxy01","NULL"
"Rv1944c","HIGH",0.0008,"1mpyA1","NULL"
"Rv1945","MEDIUM",0.003,"1fohA0","c.3.1.2"
"Rv1946c","LOW",0.012,"1g97A1","NULL"
"Rv1947","LOW",0.06,"1dvoA0","a.136.1.1"
"Rv1948c","GUESS",0.207,"1c4hA0","None"
"Rv1949c","LOW",0.02,"1bhgA3","NULL"
"Rv1950c","NULL","NULL","NULL","NULL"
"Rv1951c","LOW",0.058,"1gof01","NULL"
"Rv1952","LOW",0.059,"1dw9A1","NULL"
"Rv1953","MEDIUM",0.005,"1dxy00","c.2.1.4"
"Rv1954c","LOW",0.012,"1lvl00","c.3.1.5"
"Rv1955","LOW",0.023,"1c0pA2","NULL"
"Rv1956","MEDIUM",0.007,"2tct00","a.4.1.9"
"Rv1957","MEDIUM",0.002,"1dugA1","NULL"
"Rv1958c","GUESS",0.148,"1wkt00","b.11.1.2"
"Rv1959c","LOW",0.038,"2pkaA0","NULL"
"Rv1960c","LOW",0.056,"1drmA0","d.110.3.2"
"Rv1961","LOW",0.041,"2napA0","b.52.2.2"
"Rv1962c","MEDIUM",0.008,"1dxy02","NULL"
"Rv1963c","CERT",1E-05,"2tct00","a.4.1.9"
"Rv1964","LOW",0.011,"1f6bA0","c.37.1.8"
"Rv1965","MEDIUM",0.001,"1qs0A0","c.36.1.11"
"Rv1966","HIGH",0.0009,"1qu7A0","h.4.5.1"
"Rv1967","MEDIUM",0.002,"1lucA0","c.1.16.1"
"Rv1968","HIGH",0.0003,"1qu7A0","h.4.5.1"
"Rv1969","CERT",6E-05,"1qu7A0","h.4.5.1"
"Rv1970","LOW",0.026,"1bfd01","NULL"
"Rv1971","LOW",0.011,"1jeoA0","c.80.1.3"
"Rv1972","MEDIUM",0.007,"1bi000","a.4.5.24"
"Rv1973","LOW",0.015,"1cwvA2","NULL"
"Rv1974","LOW",0.012,"2tpt03","NULL"
"Rv1975","GUESS",0.133,"1eejA1","NULL"
"Rv1976c","LOW",0.011,"1psdA2","NULL"
"Rv1977","MEDIUM",0.004,"1aihA0","d.163.1.1"
"Rv1978","CERT",4E-07,"1fp1D2","NULL"
"Rv1979c","LOW",0.022,"1vid00","c.66.1.1"
"Rv1980c","LOW",0.011,"1qftA0","b.60.1.1"
"Rv1981c","CERT",7E-08,"1xikA0","a.25.1.2"
"Rv1982c","MEDIUM",0.004,"1mpgA1","NULL"
"Rv1983","LOW",0.036,"1cwpA0","b.121.4.5"
"Rv1984c","HIGH",0.0002,"1c4xA0","c.69.1.10"
"Rv1985c","CERT",1E-06,"1al300","c.94.1.1"
"Rv1986","LOW",0.055,"1ezwA0","c.1.16.3"
"Rv1987","HIGH",0.0001,"1xbd00","b.2.2.1"
"Rv1988","CERT",5E-07,"1vid00","c.66.1.1"
"Rv1989c","LOW",0.016,"1aihA0","d.163.1.1"
"Rv1990c","LOW",0.041,"1gnwA2","NULL"
"Rv1991c","LOW",0.08,"1fpzA0","c.45.1.1"
"Rv1992c","CERT",7E-06,"1f5sA0","c.108.1.4"
"Rv1993c","LOW",0.027,"1ebdA2","NULL"
"Rv1994c","CERT",6E-05,"1bjaA0","a.4.5.9"
"Rv1995","HIGH",0.0007,"2tct00","a.4.1.9"
"Rv1996","CERT",2E-06,"1mjhA0","c.26.2.4"
"Rv1997","CERT",5E-06,"1f5sA0","c.108.1.4"
"Rv1998c","CERT",9E-08,"1pymA0","c.1.12.7"
"Rv1999c","CERT",4E-05,"1e11A0","NULL"
"Rv2000","MEDIUM",0.002,"1qrrA0","c.2.1.2"
"Rv2001","LOW",0.063,"1ebmA0","a.96.1.3"
"Rv2002","CERT",1E-08,"1cydA0","c.2.1.2"
"Rv2003c","CERT",4E-07,"1fp1D2","NULL"
"Rv2004c","CERT",6E-05,"1bif00","c.37.1.7"
"Rv2005c","CERT",2E-06,"1mjhA0","c.26.2.4"
"Rv2006","CERT",7E-06,"1qq5A0","c.108.1.1"
"Rv2007c","CERT",7E-05,"1a6l00","d.58.1.2"
"Rv2008c","MEDIUM",0.001,"2tct00","a.4.1.9"
"Rv2009","GUESS",0.187,"1dqaA0","d.58.20.1"
"Rv2010","MEDIUM",0.009,"3chy00","c.23.1.1"
"Rv2011c","HIGH",0.0001,"1bi000","a.4.5.24"
"Rv2012","MEDIUM",0.008,"1poxA3","NULL"
"Rv2013","HIGH",0.0007,"2tct00","a.4.1.9"
"Rv2014","HIGH",0.0004,"1mpgA1","NULL"
"Rv2015c","MEDIUM",0.005,"1al300","c.94.1.1"
"Rv2016","GUESS",0.103,"1iyu00","b.84.1.1"
"Rv2017","MEDIUM",0.001,"1c3qA0","c.72.1.2"
"Rv2018","LOW",0.018,"1mun00","a.96.1.2"
"Rv2019","LOW",0.032,"2tct01","NULL"
"Rv2020c","LOW",0.034,"1ef8A0","c.14.1.3"
"Rv2021c","LOW",0.021,"1g9oA0","b.36.1.1"
"Rv2022c","LOW",0.026,"1ebfA2","NULL"
"Rv2023c","GUESS",0.12,"1jxhA0","c.72.1.2"
"Rv2024c","HIGH",0.0008,"1dusA0","c.66.1.4"
"Rv2025c","HIGH",0.0002,"1e2xA0","a.4.5.6"
"Rv2026c","CERT",3E-06,"1mjhA0","c.26.2.4"
"Rv2027c","CERT",2E-07,"1gkxA0","a.29.5.1"
"Rv2028c","CERT",2E-06,"1mjhA0","c.26.2.4"
"Rv2029c","CERT",2E-07,"1c3qA0","c.72.1.2"
"Rv2030c","CERT",2E-06,"1ecfA1","NULL"
"Rv2031c","MEDIUM",0.002,"1gmeD0","b.15.1.1"
"Rv2032","HIGH",0.0002,"1vfrA0","d.90.1.1"
"Rv2033c","MEDIUM",0.002,"1bmtA2","NULL"
"Rv2034","HIGH",0.0002,"1bia00","a.4.5.1"
"Rv2035","LOW",0.014,"1jc4A0","d.32.1.4"
"Rv2036","MEDIUM",0.002,"2tct00","a.4.1.9"
"Rv2037c","MEDIUM",0.002,"1pvdA2","NULL"
"Rv2038c","CERT",6E-08,"1gajA0","c.37.1.12"
"Rv2039c","MEDIUM",0.004,"1qtrA0","c.69.1.7"
"Rv2040c","MEDIUM",0.003,"1ebmA0","a.96.1.3"
"Rv2041c","CERT",9E-09,"1mrp00","c.94.1.1"
"Rv2042c","LOW",0.025,"1jusE0","a.4.1.9"
"Rv2043c","CERT",2E-07,"1ilwA0","c.33.1.3"
"Rv2044c","LOW",0.059,"1iumA0","None"
"Rv2045c","CERT",4E-08,"1ju3A0","b.18.1.13"
"Rv2046","LOW",0.026,"1g97A1","NULL"
"Rv2047c","CERT",3E-07,"1xel00","c.2.1.2"
"Rv2048c","CERT",2E-09,"1mla00","c.19.1.1"
"Rv2049c","LOW",0.077,"1d2zA0","a.77.1.2"
"Rv2050","LOW",0.047,"1ihnA0","c.103.1.1"
"Rv2051c","CERT",3E-07,"1foaA0","c.68.1.10"
"Rv2052c","CERT",1E-07,"1a4mA0","c.1.9.1"
"Rv2053c","LOW",0.013,"1dv1A1","NULL"
"Rv2054","CERT",5E-07,"1qfmA2","NULL"
"Rv2055c","GUESS",0.116,"1qflA1","NULL"
"Rv2056c","LOW",0.024,"1am7A0","d.2.1.4"
"Rv2057c","GUESS",0.347,"1vcbB0","d.42.1.1"
"Rv2058c","GUESS",0.111,"7reqA2","NULL"
"Rv2059","CERT",5E-07,"1pszA0","c.92.2.2"
"Rv2060","LOW",0.017,"1mjhA0","c.26.2.4"
"Rv2061c","LOW",0.028,"1d5tA2","NULL"
"Rv2062c","CERT",3E-05,"1d2fA0","c.67.1.3"
"Rv2063","MEDIUM",0.009,"2mcm00","b.1.7.1"
"Rv2064","LOW",0.018,"1al300","c.94.1.1"
"Rv2065","CERT",3E-09,"1f2vA0","c.23.17.1"
"Rv2066","HIGH",0.0002,"2liv00","c.93.1.1"
"Rv2067c","CERT",4E-06,"1fp2A2","NULL"
"Rv2068c","CERT",2E-09,"1e25A0","e.3.1.1"
"Rv2069","CERT",4E-05,"1a04A0","a.4.6.2"
"Rv2070c","CERT",4E-05,"1iirA0","c.87.1.5"
"Rv2071c","MEDIUM",0.001,"1mla00","c.19.1.1"
"Rv2072c","CERT",3E-06,"1fpqA0","a.4.5.29"
"Rv2073c","CERT",2E-08,"1cydA0","c.2.1.2"
"Rv2074","LOW",0.018,"1jusE0","a.4.1.9"
"Rv2075c","LOW",0.051,"1gpeA1","NULL"
"Rv2076c","GUESS",0.125,"1d5yA2","NULL"
"Rv2077c","GUESS",0.111,"1dmlB0","None"
"Rv2078","GUESS",0.438,"1k2yX0","c.84.1.1"
"Rv2079","MEDIUM",0.004,"1qfmA2","NULL"
"Rv2080","LOW",0.08,"1qsmA0","d.108.1.1"
"Rv2081c","LOW",0.02,"1ivhA2","NULL"
"Rv2082","CERT",2E-05,"1io1A0","e.32.1.1"
"Rv2083","CERT",0.0001,"1bi5A1","NULL"
"Rv2084","HIGH",0.0004,"1e2xA0","a.4.5.6"
"Rv2085","GUESS",0.284,"1mjhA0","c.26.2.4"
"Rv2086","GUESS",0.128,"1bn6A0","c.69.1.8"
"Rv2087","GUESS",0.286,"1gbnA0","c.67.1.4"
"Rv2088","CERT",2E-07,"1fmk03","NULL"
"Rv2089c","CERT",2E-08,"1c24A0","d.127.1.1"
"Rv2090","CERT",6E-09,"1a7600","a.60.7.1"
"Rv2091c","LOW",0.024,"1ga1A0","c.41.1.2"
"Rv2092c","CERT",1E-06,"1c4oA1","NULL"
"Rv2093c","HIGH",0.0009,"1vin00","a.74.1.1"
"Rv2094c","LOW",0.089,"8abp00","c.93.1.1"
"Rv2095c","HIGH",0.0002,"1al300","c.94.1.1"
"Rv2096c","MEDIUM",0.002,"1pymA0","c.1.12.7"
"Rv2097c","MEDIUM",0.001,"1ak100","c.92.1.1"
"Rv2098c","MEDIUM",0.003,"1aj200","c.1.21.1"
"Rv2099c","GUESS",0.365,"1k04A0","a.24.14.1"
"Rv2100","MEDIUM",0.009,"1fpxA0","a.4.5.29"
"Rv2101","CERT",9E-08,"1d2mA0","c.37.1.19"
"Rv2102","MEDIUM",0.001,"1c3qA0","c.72.1.2"
"Rv2103c","CERT",5E-05,"1lucA0","c.1.16.1"
"Rv2104c","LOW",0.015,"1dw9A1","NULL"
"Rv2105","MEDIUM",0.007,"1aihA0","d.163.1.1"
"Rv2106","CERT",7E-05,"1cxqA0","NULL"
"Rv2107","LOW",0.048,"1jdw00","d.126.1.2"
"Rv2108","LOW",0.013,"1gkxA0","a.29.5.1"
"Rv2109c","CERT",3E-06,"1fntJ0","None"
"Rv2110c","CERT",1E-06,"1fntL0","None"
"Rv2111c","GUESS",0.135,"1bmtA2","NULL"
"Rv2112c","LOW",0.014,"1is2A0","a.29.3.2"
"Rv2113","GUESS",0.136,"1f2tB0","c.37.1.12"
"Rv2114","LOW",0.014,"1fmtA1","NULL"
"Rv2115c","CERT",3E-09,"1e32A0","b.52.2.3"
"Rv2116","LOW",0.018,"2mev10","b.121.4.1"
"Rv2117","LOW",0.026,"1g8mA1","NULL"
"Rv2118c","CERT",6E-07,"1vid00","c.66.1.1"
"Rv2119","MEDIUM",0.005,"1al300","c.94.1.1"
"Rv2120c","MEDIUM",0.002,"1bi5A0","c.95.1.2"
"Rv2121c","MEDIUM",0.001,"1bj4A0","c.67.1.4"
"Rv2122c","LOW",0.036,"1fts01","NULL"
"Rv2123","GUESS",0.102,"1ec5A0","NULL"
"Rv2124c","CERT",4E-08,"1msk00","d.173.1.1"
"Rv2125","HIGH",0.0003,"1fohA5","NULL"
"Rv2124c","HIGH",0.0001,"1uteA0","d.159.1.1"
"Rv2125","MEDIUM",0.002,"1bjwA0","c.67.1.1"
"Rv2128","GUESS",0.134,"1d1rA0","d.64.1.1"
"Rv2129c","CERT",2E-08,"1cydA0","c.2.1.2"
"Rv2130c","CERT",2E-08,"1gaxA0","a.2.7.3"
"Rv2131c","CERT",7E-09,"1imbA0","e.7.1.1"
"Rv2132","LOW",0.06,"1a02J0","h.1.3.1"
"Rv2133c","LOW",0.054,"1qhsA0","c.37.1.3"
"Rv2134c","LOW",0.027,"1c3qA0","c.72.1.2"
"Rv2135c","CERT",3E-07,"1bif02","NULL"
"Rv2136c","LOW",0.041,"1bi5A0","c.95.1.2"
"Rv2137c","LOW",0.047,"1f60A1","NULL"
"Rv2138","LOW",0.013,"1inp00","e.7.1.1"
"Rv2139","CERT",1E-09,"1d3gA0","c.1.4.1"
"Rv2140c","CERT",1E-05,"1a4400","b.17.1.1"
"Rv2141c","CERT",5E-08,"1amp00","c.56.5.4"
"Rv2142c","LOW",0.043,"1qsmA0","d.108.1.1"
"Rv2143","CERT",3E-06,"1ecfA1","NULL"
"Rv2144c","LOW",0.084,"1a0i01","NULL"
"Rv2145c","MEDIUM",0.003,"1dn1B0","NULL"
"Rv2146c","GUESS",0.264,"1bjwA0","c.67.1.1"
"Rv2147c","LOW",0.011,"1dqyA0","c.69.1.3"
"Rv2148c","LOW",0.014,"1pvdA0","c.31.1.3"
"Rv2149c","MEDIUM",0.003,"1pymA0","c.1.12.7"
"Rv2150c","CERT",8E-10,"1fsz00","c.32.1.1"
"Rv2151c","MEDIUM",0.003,"1gkxA0","a.29.5.1"
"Rv2152c","CERT",4E-09,"1gg4A0","c.98.1.1"
"Rv2153c","CERT",9E-10,"1f0kA0","c.87.1.2"
"Rv2154c","MEDIUM",0.009,"1drw00","c.2.1.3"
"Rv2155c","CERT",2E-09,"1gg4A0","c.98.1.1"
"Rv2156c","MEDIUM",0.007,"1c3qA0","c.72.1.2"
"Rv2157c","CERT",6E-10,"1gg4A0","c.98.1.1"
"Rv2158c","CERT",6E-10,"1gg4A0","c.98.1.1"
"Rv2159c","HIGH",0.0005,"1j79A0","c.1.9.4"
"Rv2160c","LOW",0.093,"1gof01","NULL"
"Rv2161c","CERT",3E-09,"1lucA0","c.1.16.1"
"Rv2162c","MEDIUM",0.001,"1io1A0","e.32.1.1"
"Rv2163c","CERT",2E-08,"1e25A0","e.3.1.1"
"Rv2164c","HIGH",0.0002,"1e39A2","NULL"
"Rv2165c","HIGH",0.0002,"2tct00","a.4.1.9"
"Rv2166c","LOW",0.098,"1qsaA0","a.118.5.1"
"Rv2167c","CERT",7E-05,"1cxqA0","NULL"
"Rv2168c","MEDIUM",0.007,"1aihA0","d.163.1.1"
"Rv2169c","LOW",0.032,"1a0tP0","f.4.3.2"
"Rv2170","HIGH",0.0003,"1qsmA0","d.108.1.1"
"Rv2171","LOW",0.017,"1cwvA2","NULL"
"Rv2172c","LOW",0.018,"1bylA0","d.32.1.2"
"Rv2173","CERT",8E-09,"1uby00","a.128.1.1"
"Rv2174","MEDIUM",0.001,"1gosA0","c.3.1.2"
"Rv2175c","LOW",0.013,"1volA2","NULL"
"Rv2176","CERT",3E-08,"1fmk03","NULL"
"Rv2177c","MEDIUM",0.001,"1in4A2","NULL"
"Rv2178c","HIGH",0.0001,"1fpqA0","a.4.5.29"
"Rv2179c","LOW",0.051,"1bouA0","a.88.1.1"
"Rv2180c","MEDIUM",0.006,"1al300","c.94.1.1"
"Rv2181","MEDIUM",0.006,"1ihuA1","NULL"
"Rv2182c","LOW",0.04,"1d3gA0","c.1.4.1"
"Rv2183c","GUESS",0.101,"1fo4A1","NULL"
"Rv2184c","CERT",7E-05,"1ihuA1","NULL"
